2459714.14296419	0.133985	0.002297
2459714.1527469675	0.133206	0.002162
2459714.1625294327	0.134122	0.002081
2459714.172311678	0.132953	0.002020
2459714.1820939234	0.133980	0.001939
2459714.1918761344	0.134161	0.001796
2459714.201658588	0.134395	0.001755
2459714.2114408216	0.137323	0.001701
2459714.221223449	0.135282	0.001663
2459714.2310056943	0.135520	0.001624
2459714.2407879513	0.134633	0.001585
2459714.2505703704	0.133806	0.001535
2459714.2603526507	0.135914	0.001507
2459714.270135116	0.136410	0.001469
2459714.279917535	0.134185	0.001409
2459714.2896999535	0.134414	0.001364
2459714.2994824075	0.135605	0.001319
2459714.309264815	0.136083	0.001276
2459714.31904728	0.134627	0.001374