time,flux,flux_err
2459714.145137,	0.286553,	0.001315
2459714.154920,	0.283441,	0.001267
2459714.164703,	0.282399,	0.001258
2459714.174486,	0.282770,	0.001205
2459714.184269,	0.284356,	0.001146
2459714.194053,	0.283530,	0.001106
2459714.203836,	0.283881,	0.001088
2459714.213619,	0.283054,	0.001065
2459714.223402,	0.284983,	0.001052
2459714.233185,	0.286108,	0.001046
2459714.242968,	0.285995,	0.001026
2459714.252751,	0.288847,	0.001012
2459714.262535,	0.292568,	0.001009
2459714.272318,	0.291988,	0.000998
2459714.282101,	0.289954,	0.000983
2459714.291884,	0.290162,	0.000968
2459714.301667,	0.287344,	0.000946
2459714.311450,	0.286652,	0.000915
2459714.321233,	0.288295,	0.000963
2459714.331017,	0.293727,	0.001435